name,kilometers_driven,fuel_type,transmission,price,emi
2021 KIA SELTOS HTK PLUS 1.5,"30,964 km",Petrol,Manual,₹10.02 Lakh,"EMIs from ₹19,072/month"
2022 KIA SELTOS HTE 1.5 DIESEL,"36,166 km",Diesel,Manual,₹11.03 Lakh,"EMIs from ₹20,995/month"
2019 KIA SELTOS HTK PLUS 1.5,"27,143 km",Petrol,Manual,₹10.07 Lakh,"EMIs from ₹19,167/month"
2022 KIA SONET HTX 1.0 IMT,"9,526 km",Petrol,Manual,₹10.60 Lakh,"EMIs from ₹20,176/month"
2020 KIA SONET HTK PLUS 1.5,"35,537 km",Diesel,Manual,₹8.56 Lakh,"EMIs from ₹16,299/month"
2021 KIA SONET HTK PLUS 1.0 DCT,"27,310 km",Petrol,Automatic,₹9.75 Lakh,"EMIs from ₹18,558/month"
2020 KIA CARNIVAL PREMIUM 2.2 7 STR,"66,902 km",Diesel,Automatic,₹19.16 Lakh,"EMIs from ₹36,475/month"
2022 KIA SONET HTK PLUS 1.2,"12,265 km",Petrol,Manual,₹8.95 Lakh,"EMIs from ₹17,036/month"
2020 KIA SONET HTK PLUS 1.5,"67,883 km",Diesel,Manual,₹8.70 Lakh,"EMIs from ₹16,560/month"
2020 KIA SELTOS HTK PLUS AT 1.5 DIESEL,"82,433 km",Diesel,Automatic,₹10.36 Lakh,"EMIs from ₹19,719/month"
2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL,"24,009 km",Petrol,Automatic,₹14.78 Lakh,"EMIs from ₹28,132/month"
2020 KIA SONET HTK PLUS 1.5,"64,930 km",Diesel,Manual,₹8.20 Lakh,"EMIs from ₹15,608/month"
2019 KIA SELTOS GTX 1.4 PETROL DUAL TONE,"11,707 km",Petrol,Manual,₹12.49 Lakh,"EMIs from ₹23,774/month"
2022 KIA SONET HTX 1.0 IMT,"29,811 km",Petrol,Manual,₹10.75 Lakh,"EMIs from ₹20,462/month"
2022 KIA SONET HTK 1.5,"23,502 km",Diesel,Manual,₹9.55 Lakh,"EMIs from ₹18,178/month"
2022 KIA SONET HTX 1.0 IMT,"36,545 km",Petrol,Manual,₹10.61 Lakh,"EMIs from ₹20,189/month"
2022 KIA SONET HTX 1.0 IMT,"20,224 km",Petrol,Manual,₹9.82 Lakh,"EMIs from ₹18,688/month"
2020 KIA SELTOS HTX PLUS AT1.5 DIESEL,"89,886 km",Diesel,Automatic,₹11.75 Lakh,"EMIs from ₹22,365/month"
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,"9,293 km",Petrol,Manual,₹13.64 Lakh,"EMIs from ₹25,962/month"
2022 KIA SELTOS HTX PETROL 1.5,"16,721 km",Petrol,Manual,₹14.36 Lakh,"EMIs from ₹27,325/month"
